arxiv	doi	year	seeds	venue	title
		2023	varbench		High-throughput-based examination of density functional eﬀects in intrinsic properties of SnS
		2023	varbench		Single Entanglement Connection Architecture between Multi-Layer HEA for Distributed VQE
			varbench		Comparison of encoding schemes for quantum computing of 𝑺 > 1 / 2 spin chains
			varbench		Sample-based Krylov Quantum Diagonalization
			varbench		Enhanced NQS via Annealed Gradient Descent
2608.00254		2026	ftps		Interplay of spin-orbit coupling, crystal field splitting and correlations: a ghost rotationally invariant slave boson treatment
2512.15875	10.1063/5.0323779	2025	ftps	The Journal of chemical physics	Tree tensor networks methods for efficient calculation of molecular vibrational spectra.
2503.15460	10.1063/5.0301775	2025	ftps	The Journal of chemical physics	pyTTN: An open-source toolbox for open and closed system quantum dynamics simulations using tree tensor networks.
2407.10140	10.1103/hmbj-lg7p	2024	ftps	Physical Review A	Efficient tensor network simulation of multiemitter non-Markovian systems
2407.00771	10.1063/5.0226253	2024	ftps	The Journal of chemical physics	Steady-state properties of multi-orbital systems using quantum Monte Carlo.
2406.09769	10.22331/q-2024-12-27-1580	2024	ftps	ArXiv	Approximate Contraction of Arbitrary Tensor Networks with a Flexible and Efficient Density Matrix Algorithm
2304.06587	10.1063/5.0245488	2023	ftps	APL Quantum	Anderson impurity solver integrating tensor network methods with quantum computing
	10.1016/j.mtcomm.2023.105510	2023	ftps	Materials Today Communications	Stability, electronic, optical and thermoelectric properties of site-substituted <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline" id="d1e2512" altimg="si21.svg"><mml:msub><mml:mrow><mml:mi mathvariant="normal">LaV O</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow><
	10.1088/1742-5468/ac729b	2022	ftps	Journal of Statistical Mechanics: Theory and Experiment	Quench dynamics of the Anderson impurity model at finite temperature using matrix product states: entanglement and bath dynamics
2010.03938	10.1103/physrevb.103.035120	2021	ftps	Physical Review B	Self-consistent ladder dynamical vertex approximation
2008.04281	10.1038/s43588-021-00090-3	2020	ftps	Nature Computational Science	Maximally localized dynamical quantum embedding for solving many-body correlated systems
2007.14822	10.21468/scipostphyscodeb.4	2020	ftps	ArXiv	The ITensor Software Library for Tensor Network Calculations
2007.03955	10.1103/physrevb.103.045120	2020	ftps	Physical Review B	Sparse modeling of large-scale quantum impurity models with low symmetries
2007.02804	10.1103/physrevresearch.2.043263	2020	ftps	Physical Review Research	Spectral properties of heterostructures containing half-metallic ferromagnets in the presence of local many-body correlations
2002.04656	10.1103/physrevb.101.165132	2020	ftps	Physical Review B	Nonequilibrium pseudogap Anderson impurity model: A master equation tensor network approach
1911.09108	10.1103/physreva.101.050301	2019	ftps	Physical review. A	Open System Tensor Networks and Kramers’ Crossover for Quantum Transport
	10.1103/physreve.100.043309	2019	ftps	Physical review. E	Towards a polynomial algorithm for optimal contraction sequence of tensor networks from trees.
1912.12493	10.1103/physrevb.100.115151	2019	ftps	Physical Review B	Density functional theory plus dynamical mean-field theory with natural atomic orbital projectors
1909.02757	10.1103/physrevb.100.115134	2019	ftps	Physical Review B	Natural-orbital impurity solver and projection approach for Green's functions
1909.02503	10.1103/physrevb.101.041101	2019	ftps	Physical Review B	Imaginary-time matrix product state impurity solver in a real material calculation: Spin-orbit coupling in Sr2RuO4
1909.02389	10.1103/physrevlett.124.016401	2019	ftps	Physical review letters	Strongly Correlated Materials from a Numerical Renormalization Group Perspective: How the Fermi-Liquid State of Sr_{2}RuO_{4} Emerges.
1908.03090	10.21468/scipostphys.8.2.024	2019	ftps	SciPost Physics	Time dependent variational principle for tree Tensor Networks
1906.03396	10.1103/physrevb.100.075137	2019	ftps	Physical Review B	Bayesian parametric analytic continuation of Green's functions
1904.12793	10.1103/physrevlett.124.137701	2019	ftps	Physical review letters	Breaking the entanglement barrier: Tensor network simulation of quantum transport
1903.00432	10.1103/physrevb.99.235426	2019	ftps	Physical Review B	Comb tensor networks
1812.02049	10.1103/physreve.99.043303	2018	ftps	Physical review. E	Auxiliary master equation approach within stochastic wave functions: Application to the interacting resonant level model.
	10.70675/34fcc0faz5be8z4019za194z5a91f83926b4	2018	ftps		Heavy fermions and Hund's metals in iron-based superconductors
1810.07963	10.1103/physrevb.99.045148	2018	ftps	Physical Review B	First-principles quantum transport simulation of CuPc on Au(111) and Ag(111)
1810.01612	10.1103/physrevb.99.205132	2018	ftps	Physical Review B	Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions
1808.10804	10.21468/scipostphys.5.5.047	2018	ftps	SciPost Physics	Abelian and non-abelian symmetries in infinite projected entangled pair states
1712.08055	10.1103/physrevb.97.115156	2017	ftps	Physical Review B	Dynamical mean-field theory on the real-frequency axis: p-d hybridization and atomic physics in SrMnO3
1711.08745	10.3389/fphy.2018.00013	2017	ftps	arXiv: Strongly Correlated Electrons	Solving the Multi-site and Multi-orbital Dynamical Mean Field Theory Using Density Matrix Renormalization
1711.01104	10.1103/physrevb.97.045125	2017	ftps	Physical Review B	Error estimates for extrapolations with matrix-product states
1707.08841	10.1016/j.physb.2017.09.078	2017	ftps	Physica B-condensed Matter	A real-frequency solver for the Anderson impurity model based on bath optimization and cluster perturbation theory
	10.1007/978-3-319-94956-7_3	2018	ftps		From the Keldysh Formalism to Non-equilibrium Dynamical Mean-Field Theory
	10.1103/vwhk-22b8	2025	varbench		Distribution-adaptive dynamic shot optimization for variational quantum algorithms
	10.1103/3sxm-rwb2	2026	varbench		Probing quantum spin systems with Kolmogorov-Arnold neural network quantum states
	10.1145/3733842	2025	varbench		Line-Graph Qubit Routing
	10.2139/ssrn.5490827	2025	varbench		Rigorous Renormalization Group Analysis of Quantum Many-Body Hysteresis in Topological Insulators: Applications to Hydrogen Switching and CO 2 Reduction Catalysis
2506.04663	10.1103/lldh-d7y1	2026	varbench		Accelerated spin-adapted ground-state preparation with nonvariational quantum algorithms
	10.1103/9891-x33t	2026	varbench		Unbiased Krylov subspace method for the extraction of ground states from lattice correlators
	10.1103/l8mr-567g	2026	varbench		Grassmann variational Monte Carlo with neural wave functions
2302.04919	10.1126/science.adg9774	2024	ftps		Variational benchmarks for quantum many-body problems
2211.10430	10.1103/physrevb.107.125103	2023	ftps		Real-time evolution of Anderson impurity models via tensor network influence functionals
2207.07547	10.1103/physrevlett.130.186301	2023	ftps		Quantum Monte Carlo Method in the Steady State
2306.17837	10.21468/scipostphys.15.6.222	2023	ftps		Gauging tensor networks with belief propagation
2204.05693	10.1103/prxquantum.4.010317	2023	ftps		Density Matrix Renormalization Group with Tensor Processing Units
2012.01424	10.1103/physrevb.104.014303	2021	ftps		Efficient mapping for Anderson impurity problems with matrix product states
2210.09623	10.1103/physrevb.107.075119	2023	ftps		Configuration interaction based nonequilibrium steady state impurity solver
2112.02764	10.1103/physrevresearch.4.023219	2022	ftps		Hybrid quantum-classical algorithm for computing imaginary-time correlation functions
2012.02803	10.1103/physrevb.103.155104	2021	ftps		Quantum quasi Monte Carlo algorithm for out-of-equilibrium Green functions at long times
2010.12628	10.1103/physrevb.103.195149	2021	ftps		Electron correlations in the cubic paramagnetic perovskite Sr(V,Mn)O3 : Results from fully self-consistent self-energy embedding calculations
2212.07515	10.1103/physrevb.107.l121104	2023	ftps		Accuracy of ghost rotationally invariant slave-boson and dynamical mean field theory as a function of the impurity-model bath size
2103.05545	10.1103/physrevb.104.115119	2021	ftps		Tree tensor-network real-time multiorbital impurity solver: Spin-orbit coupling and correlation functions in Sr2RuO4
2305.03329	10.1103/physrevb.107.235150	2023	ftps		Efficient computational screening of strongly correlated materials: Multiorbital phenomenology within the ghost Gutzwiller approximation
